regional stations: orinoquia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
APTO GUAPI   ,42,-77.89475,2.574416666667,0.001,0,0.012,0,0,0,0.002,0
regional stations: caribe,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
A.E CORTISSOZ   ,14,-74.779722222222,10.917777777778,1.547,10.176,8.286,0.129,0,10.195,1.707,4.58
FEDEARROZ AUTOMATICA ,184,-73.248055555556,10.463611111111,1.984,2.014,0,10.271,9.003,2.015,4.597,4.27
CARMEN DE BOLIVAR AUTOMATICA ,152,-75.106416666667,9.71575,1.283,1.408,0,3.472,5.444,6.486,2.774,2.98
APTO ALFONSO LOPEZ  ,138,-73.247666666667,10.436166666667,0.777,5.119,4.962,0.094,0,5.122,0.859,2.42
APTO LOS GARZONES ,20,-75.825138888889,8.825833333333,0.242,5.051,4.948,0.098,0,5.057,0.837,2.32
APTO LOS CEDROS  ,41,-76.717888888889,7.816388888889,0.604,4.52,4.537,0.1,0,4.523,0.755,2.15
APTO ALM. PADILLA ,4,-72.917666666667,11.529611111111,0.676,4.593,4.017,0.074,0,4.598,0.761,2.1
COVEÑAS AUTOMATICA,1,-75.666666666667,9.383333333333,3.526,0,0,0,3.517,0,3.439,1.5
PAICI AUTOMATICA ,45,-72.32575,11.594944444444,3.123,0,0,0,2.904,3.214,1.187,1.49
TOROMANA AUTOMATICA ,144,-71.210944444444,12.083527777778,1.662,0,0,0,2.893,2.912,1.83,1.33
PISTA INDIRA AUTOM  ,15,-76.696166666667,7.94075,2.339,0,0,0,2.146,2.359,2.332,1.31
LA GRAN VIA AUTOMATICA ,30,-74.133333333333,10.85,0,0,0,0,2.484,2.991,3.083,1.22
PUERTA ROJA AUTOMATICA ,160,-75.3875,9.316388888889,0,0,0,0,5.572,0,2.782,1.19
APTO ALM. PADILLA - AUTOM ,4,-72.917666666667,11.529611111111,2.037,0.961,0,0.929,1.215,0.959,2.027,1.16
CHIGORODO AUTOM   ,44,-76.694055555556,7.671138888889,2.09,0,0,0,1.815,1.979,2.035,1.13
LORICA  ITA AUTOMATICA ,30,-75.844416666667,9.252722222222,1.449,0,0,0,1.643,1.695,1.451,0.89
SAN MARCOS AUTOMATICA ,31,-75.142694444444,8.596833333333,0,0,0,0,2.975,1.53,1.228,0.82
EL TESORO IDEAM AUTOMATICA ,168,-75.28925,9.357083333333,0,0,0,0,1.522,2.188,1.669,0.77
LA LOMA CARBONES DEL CESAR AUTOMATICA ,60,-73.523944444444,9.640611111111,0,0,0,0,2.144,0,2.812,0.71
BATALLON NO. 6 AUTOMATICA ,128,-73.927777777778,10.465361111111,0,0,0,0,3.65,0,0.78,0.63
APTO LOS GARZONES AUTOM ,20,-75.825138888889,8.825833333333,0.899,0,0,0,1.626,0,0.899,0.49
APTO PTO BOLIVAR AUTO ,10,-71.982888888889,12.224305555556,1.166,0,0,0,0.946,0,1.164,0.47
